Model,RMSE,MAE,R2,Target_Column,Time,Model_Filename
KNeighborsRegressor,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206200455,KNeighborsRegressor_20240206200455
SGDRegressor,7475.632764468761,6418.5152473804765,0.8905921514623745,Salary,20240206200455,SGDRegressor_20240206200455
ElasticNet,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206200455,ElasticNet_20240206200455
gbr,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206200455,gbr_20240206200455
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206200455,ada_20240206200455
HuberRegressor,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206200455,HuberRegressor_20240206200455
RandomForestRegressor,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206200455,RandomForestRegressor_20240206200455
mlp,85984.58835989493,82979.29151956346,-13.474174136064567,Salary,20240206200455,mlp_20240206200455
dt,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206200455,dt_20240206200455
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206200455,lasso_20240206200455
rf,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206200455,rf_20240206200455
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206200455,BayesianRidge_20240206200455
en,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206200455,en_20240206200455
par,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206200455,par_20240206200455
et,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240206200455,et_20240206200455
knn,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206200455,knn_20240206200455
svm,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206200455,svm_20240206200455
ExtraTreesRegressor,8245.282325650429,7415.305,0.866904423412689,Salary,20240206200455,ExtraTreesRegressor_20240206200455
ard,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206200455,ard_20240206200455
PassiveAggressiveRegressor,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206200455,PassiveAggressiveRegressor_20240206200455
lr,7059.043621901508,6286.453830757743,0.9024461774180498,Salary,20240206200455,lr_20240206200455
Lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206200455,Lasso_20240206200455
